Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
Hill's Pet Nutrition,4290,2700,Manufacturing,"pet nutrition, pet food, dog, cat, veterinarian, nutrigenomics, nutrition, consumer packaged goods",Public Company,United States,Topeka,EST,3990,102970
Hillrom,2500,10000,Medical Equipment Manufacturing,"Smart Beds, Surfaces, Patient Monitoring, Patient Mobility, Patient Handling, Care Communications, Surgical Workflow, Precision Positioning, Non-Invasive Respiratory Therapy, SmartCare Services, Vision Screening, Diagnostics, Physical Exam, Diagnostic Cardiology, Surgical Access",Public Company,United States,Chicago,EST,4000,102980
Hillshire Brands,4000,9000,Food and Beverage Manufacturing,"Brand Building, Convenient Food, Innovation",Public Company,United States,Chicago,EST,4010,102990
Hilti North America,1500,3000,Construction,"Construction, Engineering, Sales, Tools, Software, Services",Privately Held,United States,Plano,EST,4020,103000
Hoag Health System,3200,6800,Hospitals and Health Care,"Orthopedics, Heart & Vascular, Women's Health, Neuroscience, Cancer, Cardiac Care, Critical Care, Sepsis, Respiratory Failure, Gastrointestinal, Stroke",Nonprofit,United States,Newport Beach,EST,4030,103010
Holiday Retirement,500,2000,Hospitality,"Independent Living, Retirement Living, Senior Housing, Senior Living, Assistant Living, Hospitality, Property Management",Privately Held,United States,Louisville,EST,4040,103020
Hollister Incorporated,1500,3100,Medical Equipment Manufacturing,"Ostomy Care, Continence Care, Critical Care",Privately Held,United States,Libertyville,EST,4050,103030
HollyFrontier,15000,3700,Oil and Gas,,Public Company,United States,Dallas,EST,4060,103040
HomeGoods - TJX Companies,12000,33000,Design Services,,Public Company,United States,Framingham,EST,4070,103050
Hubbell Incorporated,4100,19000,"Appliances, Electrical, and Electronics Manufacturing","manufacturing, LED lighting, Electrical, networking, structured wiring, power transmission, connector design, connection delivery, energy management, lighting, NEMA, NEC, BICSI, TIA, Electrical Safety, Industrial Connectivity, USGBC, Wiring Devices, lighting, residential lighting, IoT products",Public Company,United States,Shelton,EST,4080,103060
Hubbell Power Systems,4100,14000,"Appliances, Electrical, and Electronics Manufacturing","Anchoring/Foundations, Arresters, Bushings, Cable Accessories, Civil Construction, Connectors, Drain Systems, Enclosures, Fiberglass Construction, Insulators, Lineman Grade Tools, Pole Line Hardware, Switching, Truck Accessories",Public Company,United States,Columbia,EST,4090,103070
Hudson,1400,2500,Retail,Retail specialty stores in airports & transportation centers,Public Company,United States,East Rutherford,EST,4100,103080
Hypertherm Associates,700,1400,Manufacturing,"Plasma cutting, CAM nesting software, Waterjet cutting, Robotics, CNCs, Software solutions, SAAS, Finance, Research Technologies, Material Engineering, Mechanical engineering, Process engineering, Software engineers, CAD/CAM programers, Industrial Sales, Information systems, Information technology, Manufacturing Operations, Supply Chain, Reliability Engineer, Advanced Manufacturing, Operations",Privately Held,United States,Hanover,EST,4110,103090
Hyundai Motor America,9500,10700,Automotive,"Automotive, mobility, innovation",Privately Held,United States,Fountain Valley,EST,4120,103100
IBM iX,19000,10000,IT Services and IT Consulting,"Design, Experience, Strategy, Digital Transformation, Consulting, Digital Reinvention, Customer Experience, Design Thinking, Experience Design, Mobile, App Development, Business Consulting",Public Company,United States,Armonk,EST,4130,103110
ICI Pakistan Limited,750,1500,Chemical Manufacturing,"Life Sciences, Polyester Fibre, Soda Ash, Chemicals",Public Company,Pakistan,Karachi,PKT,4140,103120
IDEX Corporation,2500,7200,Machinery Manufacturing,"Our largest served markets include industrial infrastructure applications, health and science technologies, industrial and municipal fire and rescue, fluid and metering technologies, scientific fluidics ",Public Company,United States,Northbrook,EST,4150,103130
IEHP,1500,2000,Hospital & Health Care,"HMO Healthcare Insurance, managed care, Medicaid, Medi-Cal, Medicare",Nonprofit,United States,Rancho Cucamonga,EST,4160,103140
IFFCO Group,1200,4500,Food and Beverage Manufacturing,"Manufacturing, Trading, Distribution, Beverages, Confectionery, Ice Cream, Chocolate, Oils & Fats, Personal Care, Flour, Packaging, Culinary, Biscuits, Pasta, Fresh Poultry & Eggs, Bakery Ingredients, Frozen Foods, Out of Home Products & Services, Industrial, Oleo Chemicals, Snacks, Wafers, Animal Nutrition, Plant based",Privately Held,United Arab Emirates,Dubai,GST,4170,103150
